date,economic_index,cloud_market_demand,holiday
2023-01-01,104.97,0.99,1
2023-01-02,106.48,1.15,0
2023-01-03,97.66,0.98,0
2023-01-04,115.79,1.08,0
2023-01-05,95.31,1.05,0
2023-01-06,95.37,0.95,0
2023-01-07,102.42,0.81,1
2023-01-08,82.75,0.94,1
2023-01-09,89.87,1.03,0
2023-01-10,90.92,0.86,0
2023-01-11,114.66,0.98,0
2023-01-12,100.68,0.86,0
2023-01-13,94.56,1.01,0
2023-01-14,88.49,1.04,1
2023-01-15,93.99,0.97,1
2023-01-16,93.98,1.19,0
2023-01-17,99.87,0.89,0
2023-01-18,108.23,0.88,0
2023-01-19,102.09,0.8,0
2023-01-20,86.72,1.02,0
2023-01-21,107.38,1.02,1
2023-01-22,98.84,0.97,1
2023-01-23,85.21,0.93,0
2023-01-24,95.39,1.11,0
2023-01-25,103.44,0.82,0
2023-01-26,103.24,0.96,0
2023-01-27,93.23,1.06,0
2023-01-28,110.31,1.09,1
2023-01-29,91.61,0.97,1
2023-01-30,103.31,1.1,0
2023-01-31,95.21,0.98,0
2023-02-01,88.94,0.88,0
2023-02-02,108.13,1.14,0
2023-02-03,99.28,1.1,0
2023-02-04,103.62,0.94,1
2023-02-05,103.61,1.15,1
2023-02-06,99.64,1.16,0
2023-02-07,73.8,1.08,0
2023-02-08,100.87,0.97,0
2023-02-09,100.92,0.8,0
2023-02-10,97.8,1.04,0
2023-02-11,114.78,0.95,1
2023-02-12,91.92,0.95,1
2023-02-13,109.15,1.03,0
2023-02-14,94.7,1.05,0
2023-02-15,100.97,1.1,0
2023-02-16,92.98,0.97,0
2023-02-17,96.08,0.85,0
2023-02-18,102.96,1.03,1
2023-02-19,100.05,0.98,1
2023-02-20,85.85,0.96,0
2023-02-21,96.57,0.92,0
2023-02-22,98.39,1.04,0
2023-02-23,118.86,1.02,0
2023-02-24,102.58,0.99,0
2023-02-25,80.81,1.0,1
2023-02-26,100.6,1.25,1
2023-02-27,98.08,1.03,0
2023-02-28,99.65,0.88,0
2023-03-01,111.43,1.08,0
2023-03-02,107.91,0.91,0
2023-03-03,114.03,0.86,0
2023-03-04,105.87,1.22,1
2023-03-05,90.09,0.94,1
2023-03-06,101.0,0.95,0
2023-03-07,84.49,1.01,0
2023-03-08,89.38,1.05,0
2023-03-09,90.81,1.15,0
2023-03-10,92.17,0.97,0
2023-03-11,108.14,0.88,1
2023-03-12,102.27,1.13,1
2023-03-13,83.93,1.02,0
2023-03-14,102.6,1.08,0
2023-03-15,87.63,0.87,0
2023-03-16,105.22,1.03,0
2023-03-17,102.5,1.03,0
2023-03-18,93.2,1.02,1
2023-03-19,102.93,0.93,1
2023-03-20,118.66,1.05,0
2023-03-21,88.09,1.07,0
2023-03-22,90.25,1.08,0
2023-03-23,111.59,0.92,0
2023-03-24,109.63,1.04,0
2023-03-25,108.22,1.19,1
2023-03-26,97.55,0.92,1
2023-03-27,91.1,0.92,0
2023-03-28,99.23,1.03,0
2023-03-29,102.77,1.08,0
2023-03-30,100.13,1.15,0
2023-03-31,97.35,1.27,0
